"word","freq"
"array",0.083063565726909
"file",0.0657494210348491
"mysql",0.0619664215801814
"user",0.0558234589052379
"php",0.0529462039416275
"function",0.051683757779765
"string",0.0516360750660706
"data",0.0512576521096961
"echo",0.0488223155839607
"query",0.0473275086266453
"post",0.0468642638279857
"class",0.0449676275110058
"server",0.0444777691943118
"form",0.0434213355241641
"table",0.043153676119645
"error",0.0423950156509936
"url",0.0415462001447217
"code",0.041517242891801
"image",0.0414097438908345
"session",0.0399707448895942
