"word","freq"
"java",0.0809800853404323
"file",0.0737008754813272
"string",0.0730531876809193
"class",0.0627705221091828
"public",0.0555320434603792
"android",0.0549228907038056
"int",0.0525768954264124
"application",0.0500333043460059
"method",0.046749757869629
"object",0.0463549419554816
"list",0.046138170559846
"code",0.0451156317863099
"data",0.0444030109430934
"server",0.0417012399362389
"array",0.0389794229002051
"eclipse",0.0388222463906822
"user",0.0376437574870475
"web",0.0374462485048227
"jar",0.0373921611982852
"xml",0.0356836059198938
